sMeanPktSz,SrcRate
118,0
102,0
64,0
920.666687,8.172238
174.714279,29.982309
198.25,31.122204
64,0
64,0
64,0
142,2.444643
697.200012,54.19173
508.727264,46.871128
60,0
60,0
60,0
60,0
508.681824,32.804146
60,0
60,0
60,0
60,0
192,4.475334
115.375,31.803001
74,0
74,0
186.25,38.442711
64,0
100,0.384463
118,0
157.199997,3.048769
213.583328,40.232983
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
431.357147,7.007912
358.909088,47.313538
432,28.558983
60,0
64,0
66,0
76.333336,143.709137
586.799988,1.121235
72,0.617768
102,0
86,4.970401
74,0.668562
98,0
192,4.061425
193.818176,28.352018
121,33.523487
118,0
227,23.344124
118.800003,20.046804
64,0
102,0
139,5.807189
66,0
99.523811,4.000331
76.333336,133.315552
103.052635,3.846052
920.666687,8.013206
177.666672,12.914391
66,0
98,0
98,7.344435
102,0
96.666664,0.729986
98,8.266849
234.964279,97.165291
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
174.714279,49.993752
256.959991,85.166786
516.25,8.378814
937.666687,26.677338
60,0
98,11.043849
100,0.206648
74,0.66669
87.333336,19.705599
66,0
108,0.294759
74,124.703827
64,0
98,10.389055
87.333336,21.387995
102,0
525.333313,3.022412
107.14286,6.336893
54,0
98,0
96.315788,7.916838
96.666664,1.010096
102,0
443.714294,1.619956
264.161285,91.755463
60,0
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
516.833313,8.378304
942,24.701725
60,0
100,0.423872
74,0.667094
544,1.801632
105.900002,47.841038
74,0
74,0
227.285721,18.754688
354.5,18.860453
64,0
583.599976,11.558756
123,10.226227
74,0
74,0
755.888916,49.426346
499.260864,32.303013
60,0
60,0
60,0
60,0
60,0
499.217377,33.33783
60,0
60,0
60,0
60,0
60,0
441.428558,4.159448
177.666672,21.743856
76.333336,0.400077
102,0
66,0
66,0
76.333336,125.651825
98,0
174.153839,33.16217
118,0
102,0
255.857147,33.57478
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
134.5,36.04847
431.714294,7.898275
111.300003,51.237484
159.333328,36.489693
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
427.444458,30.757284
586.799988,2.804015
60,0
104.693878,109.581032
64,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
121.571426,27.791288
198.666672,23.740915
110,28.053194
585.200012,4.29285
73.75,0.607284
98,5.947307
66,0
100,5.023333
118,0
181,33.057579
76.333336,83.48291
100.133331,5.822289
74,0.667916
64,0
94.444443,3.855685
720,3.020677
99,42.951946
99.882355,8.331162
95.090912,4.951865
102,0
86,4.977725
181,28.335835
95.090912,5.162238
98,0
98,4.858524
118,0
98,7.2588
102,0
181,33.642284
102.571426,8.231277
98,12.942327
98,0
401,1.733885
377,18.795933
100,0.555218
180.199997,25.49021
64,0
104.400002,11.338526
720,3.905609
74,0.66808
82,14.739841
920.666687,8.25389
180.199997,30.092155
102,0
111.714287,4.332129
720,2.556719
98,0
118,0
82,13.98621
102,0
100,0.233579
118,0
64,0
98,0
74,0.668706
102,0
815.714294,1.623895
146,3.02978
98,0
82,12.317041
102,0
806,4.899599
176,18.751875
66,32.104275
66,32.104275
120.5,1.815323
66,42.986717
64,0
98,0
86,4.977403
102,0
74,0.666822
60,0
100,0.342565
118,0
720,3.064818
66,33.858707
66,0
586.799988,2.904488
54,0
54,0
102,0
134.800003,0.89848
54,0
64,0
98,0
86,4.976982
102,0
74,0.667365
938,0.40262
100,2.784623
54,50.505051
66,0
54,0
86,4.989049
102,0
720,3.11193
66,52.102329
64,0
96.666664,0.417046
98,0
102,0
720,5.684908
66,34.308849
139,0.607899
116.875,35.011204
74,0
74,0
880.061523,17.250576
136.555557,43.696983
64,0
64,0
64,0
74,0.668118
118,0
100,1.085799
730,2.460838
73.75,0.607081
80,16.687805
80,16.684464
80,16.669445
310.727264,2.379838
54,34.115139
102,0
64,0
508.666656,1.350452
176,17.149424
98,0
646,3.505829
54,1000000
85.5,94.371674
91.5,68.082787
75,27.495567
102,0
121.333336,1.198431
74,0.666942
80,16.650017
118,0
100,0.27465
86,4.970327
922,8.596752
113,76.075279
74,0
74,0
74,0
74,0
140.285721,55.415939
64,0
64,0
64,0
64,0
598,0.816383
102,0
73.75,0.627221
66,0
98,0
86,4.987929
102,0
118,0
74,0.667481
98,0
920.666687,8.487776
176.230774,39.134857
102,0
86,4.975669
64,0
118,0
100,0.28097
98,0
642.799988,2.689392
567.333313,7.490861
102,0
118,0
121,33.339077
227,23.07497
74,0.668146
86,4.986636
98,0
145.5,5.627747
150.8125,13.15764
64,0
64,0
64,0
64,0
64,0
341.928558,13.000078
64,0
64,0
64,0
60,0
920.666687,8.368026
180.125,38.907261
693.599976,58.940544
102,0
184.050003,14.390701
74,0
74,0
139,0.691121
217.800003,36.405651
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
142,10.872638
656,33.806171
512.799988,70.20993
435.555542,24.09791
377.111115,1.983548
60,0
64,0
73.75,0.609625
118,0
164,18.194468
920.666687,8.056849
176,12.914807
100,0.758043
72,0.620187
150.08696,27.425814
66,94.10289
86,4.98681
139,0
98,5.608809
920.666687,9.078488
115.875,41.173565
74,0
74,0
241.5,31.791605
94,12.427608
98,5.464768
102,0
96.666664,0.77914
100.133331,5.823438
90,3.232136
920.666687,8.920965
73.75,0.611857
98,0
74,0.668619
87.333336,20.762741
174.714279,53.036327
577.166687,23.654276
66,0
136.555557,53.011726
64,0
64,0
64,0
1015.985901,28.696733
464.799988,54.043991
465,49.611103
587.833313,54.561058
485.299988,45.362675
102,0
444.285706,1.50135
64,0
121.571426,42.26096
568.208313,25.779724
498,30.553944
508.666656,1.910918
72,0.621774
218.6129,90.966431
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
548.384644,9.427937
1044,37.177025
60,0
587.599976,0.939844
100,0.713811
76.333336,0.400537
66,0
86,4.970624
96.666664,0.42989
192,4.377077
405.5,18.907166
102,0
586.799988,2.022476
703,50.745968
98,0
74,0.66682
86,4.98686
102,0
64,0
118,0
100,0.396651
98,0
118,0.21941
102,0
920.666687,8.123246
114.666664,17.593121
174.714279,49.647503
98,0
74,0.668481
86,4.966279
920.666687,8.022013
74,1.007017
64,0
102,0
118,0
86,4.972799
100,0.210031
921.333313,3.749663
176,15.764293
54,2.016018
54,2.016018
426,59.980293
121.571426,35.953331
227.285721,26.763252
96.666664,0.853305
145.5,7.577231
162.785721,12.807818
64,0
64,0
64,0
394,14.547994
60,0
100,0.200031
167.333328,1.363535
66,45.193653
66,43.362
74,0.66884
443.714294,1.315142
73.75,0.602811
64,0
102,0
118,0
86,4.979311
98,0
720,4.439834
100.714287,56.200825
102,0
96.666664,6.334125
629.200012,1.849897
66,0
54,2000000
54,0
100,0.409977
109,0.400033
0,0
86,4.98778
74,0.667379
64,0
452.857147,1.222817
66,44.702728
66,22.351364
102,0
586.799988,1.130676
105.900002,78.945984
74,0
74,0
966.787903,22.147429
66,0
135.222229,53.652748
64,0
64,0
64,0
407.952393,4.46442
648.400024,5.869831
696.75,15.075166
682.071411,56.003101
512.857117,6.252456
98,0
535.722229,34.000206
102,0
73.75,0.616771
155,1.674404
66,53.991306
121.571426,14.254219
167.199997,22.389458
74,0
74,0
74,0
74,0
587.599976,1.441514
342.5,18.90395
117.818184,12.345222
74,0
74,0
755.888916,52.322807
184.050003,28.355627
74,0
74,0
100,1.189013
145.5,18.802649
196.666672,28.582762
64,0
587.599976,0.858183
74,0.667849
73.75,0.609376
720,1.364355
73.75,0.605081
54,76.379608
54,0
174.153839,33.212749
102,0
86,4.961351
104.545456,8.967703
98,0
98,4.871879
98,8.082054
182.399994,33.113678
102,0
167.333328,0.867266
54,109.182228
98,26.859097
98,8.802617
86,4.985517
255.892853,32.292904
60,0
60,0
60,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
144.72728,15.923795
190.259262,209.848343
656.166687,35.503292
150.824997,27.216562
159.333328,40.639172
74,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
66,0
74,0
653.599976,53.366062
124,71.771881
74,0
74,0
74,0
74,0
74,0
74,0
65,0
74,0
74,0
74,0
74,0
74,0
74,0
74,0
93.428574,7.917758
100,0.640608
803,73.801826
441.399994,3.235754
427.444458,31.35693
60,0
64,0
64,0
586.799988,1.031139
66,0
93.428574,3.531669
78.400002,236.728409
118,0
74,0.667364
96.476189,8.417063
180.800003,30.067501
123,15.200494
74,0
74,0
198.714279,23.061934
316.875,32.860302
60,0
102,0
543.090881,2.271262
98,0
97.285713,56.933018
113,85.030396
74,0
74,0
74,0
74,0
73.75,0.60289
96.666664,0.758222
102,0
586.799988,1.34151
72.199997,0.805288
66,0
66,0
377.5,18.861519
100,0.203208
587.599976,3.838694
530.75,41.040798
64,0
96.666664,1.333492
74,0.667887
932.666687,5.079835
146,5.814954
100,0.213713
82,13.03594
167.333328,2.17576
523,25.360115
