sMeanPktSz,SrcRate
98,0
1361,683.531433
1359.704224,781.345032
1347.902344,731.483948
98,0
98,0
98,0
755,3.246872
719.333313,38.512642
98,0
98,0
229.181824,70.813011
177,33.393444
200,56.220837
98,0
98,0
98,0
98,0
1364.397339,60.225933
1360.514648,61.20137
1363.331055,57.801296
98,0
98,0
98,0
98,0
98,0
98,0
755,3.278811
98,0
98,0
720.25,22.723486
98,0
98,0
64,0
1352.727295,46.02224
1358.397461,46.616474
1364.055786,46.400352
94,0
98,0
98,0
98,0
98,0
98,0
98,0
177.333328,32.858528
177.333328,37.833645
98,0
98,0
755,3.136383
98,0
98,0
1347.050293,35.901466
1365.694092,50.801311
1370.392334,51.807098
98,0
98,0
98,0
98,0
98,0
98,0
98,0
102,0
114,0
98,0
98,0
98,0
1350.031982,49.82283
1363.896973,46.415543
1374.318481,76.12973
684,5.762351
98,0
98,0
715,18.291344
98,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
183,36.431198
183,37.112637
1350.665039,41.012371
1350.920776,40.217251
1351.257324,41.010689
98,0
98,0
74,0.666971
98,0
755,3.231866
98,0
660.384644,60.640667
190.5,41.662617
177,28.945236
98,0
98,0
98,0
98,0
98,0
98,0
1364.548096,47.607883
1342.033325,24.120443
1349.217407,45.891186
98,0
98,0
98,0
98,0
98,0
98,0
755,3.167521
98,0
98,0
98,0
98,0
1333.65979,19.209185
1359.029785,47.009201
1330.577515,37.694561
98,0
98,0
98,0
98,0
229.181824,65.785583
98,0
177.333328,35.493088
98,0
177.333328,36.236481
715,20.287952
98,0
98,0
712.75,3.400704
102,0
98,0
98,0
1350.675171,54.611248
1350.306396,56.605049
1351.5625,38.5774
98,0
98,0
94,0
98,0
98,0
98,0
98,0
98,0
98,0
116.875,33.329525
1344.233032,41.0093
1354.135864,41.00716
98,0
74,0
74,0
98,0
1338.900024,36.070282
836.599976,71.417099
755,3.2665
98,0
98,0
98,0
98,0
98,0
98,0
114,0
98,0
98,0
183,28.188469
183,31.276388
1242.488403,8.4705
1360.630981,34.438351
98,0
1365.268188,35.629658
98,0
98,0
696.047607,6.004228
98,0
795.75,26.544445
98,0
98,0
190.5,51.050793
177,33.777508
98,0
98,0
98,0
98,0
98,0
1366.8125,70.563072
1340.288696,38.663059
1348.397827,36.261211
98,0
98,0
98,0
98,0
755,3.211114
98,0
98,0
660.384644,63.192814
98,0
98,0
98,0
98,0
1349.390137,36.851753
1355.171265,36.925781
76.333336,0.400553
1335.885864,36.631042
98,0
98,0
102,0
98,0
98,0
98,0
98,0
755,3.111197
177.333328,27.867573
177.333328,29.904305
98,0
98,0
98,0
98,0
1357.033325,36.53038
1349.668457,36.224411
66,0
1349.674072,36.244389
98,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
716,29.984707
64,0
755,3.211065
98,0
98,0
1337.426636,30.264076
1351.458618,36.483974
98,0
98,0
98,0
98,0
94,0
98,0
98,0
98,0
98,0
98,0
98,0
325.833344,65.450089
1350.220581,54.207668
177,32.337345
177.666672,29.851639
1358.337524,47.822563
1362.681152,42.306591
98,0
98,0
719.857117,4.608337
98,0
98,0
326.083344,77.948944
177,31.315569
190.5,47.48864
98,0
98,0
98,0
98,0
119.333336,1.760883
98,0
98,0
1351.907227,30.003822
1358.988647,35.591118
1344.556152,36.128899
89,0
89,0
98,0
98,0
726.900024,5.588442
758.75,29.696503
98,0
98,0
100,0.444641
98,0
98,0
98,0
98,0
98,0
1333.175537,37.404976
98,0
1363.355713,39.374622
1361.97937,39.49995
98,0
98,0
755,3.043461
98,0
98,0
660.384644,59.743996
98,0
98,0
176.666672,32.782585
177.333328,32.783123
98,0
98,0
1355.25,44.618507
98,0
1357.935303,34.415867
1357.74707,34.664223
98,0
98,0
98,0
74,0.667527
98,0
98,0
98,0
98,0
755,3.28633
98,0
98,0
1346.861694,37.405064
1340.862061,34.921528
1357.029053,34.829769
98,0
98,0
98,0
98,0
846.5,73.411736
98,0
98,0
96,4.894308
98,0
98,0
715,22.923338
98,0
98,0
755,3.234064
1359.86731,39.005249
177.666672,24.65453
177,28.127813
1347.455078,35.433945
1347.471924,35.847546
98,0
98,0
98,0
98,0
116.875,58.382473
74,0
74,0
216.571426,22.324305
98,0
