sMeanPktSz,SrcRate
98,0
90.333336,25.633795
121,46.838776
98,0
1290.699951,15.810894
1314.176514,297.812195
1328.778809,295.359985
1336.402832,28.60269
1337.75,28.605537
98,0
715,29.969131
98,0
74,0.667312
98,0
98,0
98,0
102,0
98,0
151.25,24.586134
201.800003,86.992455
98,0
98,0
98,0
98,0
1335.769287,146.486893
1302.209473,279.106964
1297.063477,179.772659
1333.991211,311.577606
1324.605225,382.962585
98,0
98,0
98,0
98,0
176.666672,36.405334
176.666672,35.987404
177,35.366932
98,0
98,0
98,0
98,0
98,0
98,0
1303.757568,182.239746
1305.142822,283.754852
1326.05127,326.135864
1329.877563,384.171082
1321.628418,482.555756
177.333328,38.955982
98,0
98,0
98,0
98,0
116.875,58.863102
74,0
74,0
659.5,40.11285
659.875,41.206039
98,0
98,0
122,4.23833
100,0
100,0
89,0
83.833336,9.517138
89,0
76,0
76,0
98,0
98,0
98,0
98,0
73.75,0.610866
76,0
1329.223022,26.20083
1287.618164,32.834694
1240.814819,10.817258
1301.782593,36.614277
1315.384644,36.202667
89,0
89,0
150.5,16.691704
98,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
114,0
228.545456,78.089005
89,0
177,44.47607
177,37.161598
183,35.231117
89,0
98,0
98,0
673.200012,3.517528
1110.925049,7.805403
1303.04541,13.528957
1198.392822,5.625972
684.818176,2.014199
1314.098877,18.066238
758.25,30.01771
98,0
98,0
98,0
98,0
699.538452,53.336651
98,0
98,0
98,0
100,0.621534
98,0
98,0
98,0
1292.401489,26.202459
1306.272705,13.355294
1201.928589,5.527115
1328.977783,17.851612
1340.127197,34.858673
98,0
98,0
98,0
98,0
66,0
89,0
89,0
98,0
98,0
203.199997,56.470856
177.333328,42.653015
98,0
98,0
98,0
98,0
1270.022217,17.835878
1209.472168,7.014526
1308.585815,19.719748
1310.833374,13.308722
1298.329956,19.848045
758,32.302872
98,0
98,0
98,0
98,0
76.333336,125.960457
244.899994,64.374458
176.666672,31.710798
176.666672,30.04266
177,29.395769
98,0
98,0
98,0
98,0
64,0
98,0
98,0
686.545471,2.026889
1345.416138,29.931116
1340.745483,22.479626
1304.878784,13.305911
1307.054688,25.595427
275.5,61.213425
177.333328,39.156567
98,0
98,0
74,0
74,0
90,0
98,0
98,0
98,0
98,0
98,0
98,0
98,0
1360.107422,42.610252
1348.063599,47.309052
98,0
822.111084,1.704859
1362.901001,42.202209
1302.575806,13.565075
116.75,36.674816
177.333328,32.384468
98,0
98,0
98,0
660,56.694698
98,0
659.875,23.335432
98,0
98,0
89,0
89,0
98,0
98,0
177,33.326111
177,37.728729
