sMeanPktSz,SrcRate
98,0
214.5,3.004311
118,0
1363.197144,883.455627
1353.127441,358.209778
1367.791504,836.338562
98,0
74,0.668639
98,0
190,41.104897
176.666672,27.404018
98,0
647.200012,45.968555
245.699997,65.893517
391.5,77.706787
182.666672,24.794514
190.25,52.484253
98,0
98,0
1348.459229,61.800163
1368.60498,79.80262
1339.687256,45.244175
98,0
98,0
98,0
190,41.084072
182.666672,27.389006
437.642853,2.600128
98,0
98,0
1359.790649,42.804821
1348.041138,29.004141
1371.044189,77.187668
660,56.694698
98,0
98,0
98,0
283.5,46.346935
98,0
98,0
1337.008789,22.601912
1302.157837,22.612061
326,37.19257
1360.359741,33.468021
176,34.348328
176.666672,34.970539
176.666672,34.668655
98,0
698.799988,25.015165
98,0
100,0.218873
98,0
512.875,3.005778
98,0
98,0
1370.479248,62.420483
1357.470825,41.009964
1325.576904,20.607328
98,0
659.875,41.211136
98,0
98,0
648,42.968246
363,2.023111
698,30.072023
98,0
98,0
811.400024,24.067839
64,0
98,0
1355.444458,30.41497
1348.780029,29.820385
1364.557251,66.279602
98,0
98,0
349.727264,40.66082
194.5,36.127167
176.666672,29.382814
98,0
471.5,1.400685
190.25,49.285362
182.666672,26.836992
98,0
98,0
1330.881226,20.243359
1330.919434,29.616081
118,0
1359.616577,39.765038
98,0
98,0
326,73.758179
176.666672,25.60885
195.5,43.031731
98,0
313.625,1.400601
647.200012,43.091839
98,0
1324.411743,27.000853
98,0
1361.723633,39.645672
1373.339478,76.516365
121,44.128353
575.333313,27.624102
136.555557,32.444096
64,0
64,0
64,0
98,0
98,0
102,0
98,0
392.6875,3.001017
98,0
1344.219482,32.614651
1357.546387,39.918247
1350.953857,39.523235
98,0
176.666672,37.802181
176.666672,32.098606
176,37.040466
659.5,46.299866
98,0
98,0
427.222229,1.607382
98,0
98,0
1301.171997,18.482655
1357.727783,38.68729
1350.512939,38.660488
98,0
145.5,62.814072
738.400024,59.823818
66,0
98,0
698.799988,28.615372
98,0
261.882355,3.200026
98,0
98,0
1365.681763,48.225388
1366.334961,41.682388
1366.697144,41.4104
98,0
98,0
659.875,41.689747
98,0
98,0
194.5,41.160168
176.666672,27.440489
391.600006,1.802535
648,51.231476
190.25,52.650974
182.666672,28.715002
98,0
698,25.00547
811.599976,46.40778
98,0
98,0
1328.380005,29.806711
1364.127319,44.978073
1358.248901,44.663502
98,0
98,0
98,0
194,41.036865
176.666672,27.358284
362.545441,2.008008
98,0
102,0
98,0
1251.144775,15.334701
1329.804688,25.992912
1310.473633,18.886467
118,0
98,0
73.75,0.618801
98,0
98,0
647.200012,39.994801
98,0
98,0
1352.323364,53.261963
1370.405762,68.808914
1371.846558,75.402077
176,30.415014
176.666672,31.641066
176.666672,32.409134
74,0.667224
98,0
98,0
98,0
497.733337,2.81418
98,0
98,0
1343.628784,33.218723
1364.606445,50.026798
1359.395996,50.603481
660,29.70944
98,0
98,0
98,0
73,131.523575
98,0
1303.763184,15.010126
98,0
1360.515259,53.233032
1366.54248,49.66692
98,0
698.799988,28.607187
98,0
192.25,41.112221
176.666672,27.408901
98,0
420.5,4.202127
229.181824,72.307098
190.25,41.082947
182.666672,27.389006
98,0
1347.573853,47.203072
100,0.346134
1374.602173,54.731236
98,0
1364.096558,57.87199
98,0
659.875,36.503582
98,0
192,41.153393
176.666672,27.435595
238,0.600844
98,0
648,35.686882
698,23.25419
98,0
811.599976,51.761024
64,0
1328.847412,23.5776
1355.159546,58.191067
1369.082397,56.07457
98,0
98,0
98,0
98,0
453.933319,2.800458
98,0
98,0
1348.948608,42.608242
1365.539307,56.292217
1365.430054,38.753616
98,0
228.545456,63.163612
176,37.247414
176.666672,36.1716
176.666672,38.039448
118,0
98,0
121,34.681278
782.666687,28.921627
98,0
338.5,2.214612
647.200012,33.331947
98,0
98,0
134.5,42.45409
1357.442017,36.033264
1365.822876,54.11338
1373.143311,71.091866
353.636353,80.671181
686.599976,40.845501
98,0
98,0
98,0
318.230774,2.422867
98,0
98,0
1362.540283,34.606239
172,8.885769
1376.437256,55.707829
1371.75,55.851261
524,51.418285
90,0
385.799988,101.487358
660,56.924915
98,0
102,0
98,0
98,0
229,35.98119
176.666672,32.773453
190,39.41301
427.222229,1.609779
199.600006,48.279442
182.666672,31.807119
98,0
98,0
1331.473389,33.619839
1361.512939,54.914387
1356.591919,55.033463
98,0
98,0
698.799988,28.54635
98,0
229.181824,63.626587
338.666656,2.21864
190,45.639175
176.666672,23.71101
98,0
98,0
1324.957397,28.002083
1354.288452,52.435284
1369.35022,51.963413
73.75,0.609638
98,0
98,0
659.875,40.959625
98,0
362.818176,2.000143
648,39.996002
98,0
98,0
698,26.118357
98,0
811.5,59.308853
1336.313232,33.008389
1357.428589,50.207371
1347.244141,51.553776
81.5,0.200002
176,27.439734
176.666672,27.439734
176.666672,27.440489
98,0
810.285706,34.713181
108,0.21528
98,0
98,0
272.125,3.026194
98,0
1354.407715,46.431564
98,0
1351.995728,46.247379
1352.107788,47.177372
66,77.615646
98,0
98,0
102,0
98,0
471.125,1.400192
647.200012,40.064903
98,0
1327.793701,25.008972
1358.49292,42.807858
98,0
176.92308,33.525173
98,0
98,0
190,46.963791
176.666672,37.854412
300.5,2.603157
98,0
199.600006,35.744923
182.666672,29.417822
98,0
1360.94165,54.623009
1292.378906,18.802692
1331.538452,36.314655
98,0
106.272728,90.158318
74,0
74,0
74,0
74,0
660,48.534267
74,0.66798
98,0
98,0
190,56.732224
176.666672,31.308706
98,0
98,0
1357,33.007679
1356.546021,35.12249
98,0
123,3.00421
74,0
74,0
144.611115,60.507046
123.86364,57.225075
142.047623,54.500072
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
64,0
98,0
810,29.487255
698.799988,25.004845
98,0
427,3.40013
98,0
588.700012,49.478279
784.68573,32.933323
545.705872,47.486763
98,0
1303.235352,23.600014
1319.863647,21.807123
1305.157349,17.651447
98,0
176,42.696724
176.666672,41.673615
176.666672,42.548664
98,0
659.875,22.377802
98,0
338.5,2.223584
648,43.569187
98,0
698,39.995602
98,0
100,2.444474
64,0
1326.835449,338.959503
1309.119507,18.205439
1358.869019,33.619453
811.5,51.992466
66,0
98,0
214.5,9.421874
98,0
98,0
285.399994,2.826599
108,0.291049
98,0
98,0
1363.720947,60.018608
1366.691772,58.212925
1349.171387,34.854317
76.333336,152.846771
98,0
98,0
98,0
190,36.693657
176.666672,30.87468
338.25,2.204206
229.090912,77.749008
116.875,54.730682
647.200012,47.723019
74,0
74,0
176.666672,33.908073
190.25,42.614243
76.333336,0.406493
98,0
98,0
1376.8479,814.074158
1373.803711,709.362915
1332.946167,26.636784
98,0
116.875,49.648209
74,0
74,0
98,0
181.875,34.999825
98,0
300.571442,2.622514
199.199997,41.292881
176.666672,30.662617
795.833313,2.390064
66,0
98,0
1350.925415,77.604019
1366.848389,77.605858
98,0
1344.251221,40.479477
98,0
98,0
66,0.983835
66,0.968618
66,1.00409
66,0.983395
66,0.982926
66,0.980459
66,0.980459
66,0.979984
66,0.979499
66,0.979057
66,0.979057
66,0.978548
66,0.978074
66,0.977607
66,0.968175
66,0.967649
66,0.977607
66,0.973351
66,0.967659
66,1.000592
66,0.973351
66,0.967208
66,0.973351
66,0.966735
66,0.966269
66,0.966278
66,0.97336
66,1.000102
66,0.97336
66,0.965825
66,0.97336
66,0.97336
66,0.965349
66,0.965279
66,0.973762
66,0.965279
66,0.964813
66,0.964358
66,0.963883
66,0.963883
66,0.963418
98,0
285.399994,2.803684
98,0
1369.626587,46.415596
1365.524048,45.612598
1339.737793,33.756638
98,0
102,0
121,44.151085
245.600006,67.119606
176.666672,35.938904
182,33.854122
176.666672,36.021759
98,0
98,0
698.799988,19.997499
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
317.846161,2.428715
98,0
66,0
98,0
1370.690674,58.015026
1372.85083,58.805519
1328.625,32.355457
98,0
98,0
76.333336,0.400006
98,0
660.375,33.975636
300.5,2.608785
98,0
648,40.030422
76.333336,124.882919
98,0
698,33.333889
126.888885,2.301283
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
66,0
